Location,Dealer?,Latitude,Longitude
152,1,25.63,165.94
153,1,25.67,-179.48
154,1,35.3,179.13
155,1,37.23,-179.17
156,1,34.17,-156.08
157,1,29.39,175
158,1,32.95,172.78
159,1,20.85,167.34
160,1,20.83,168.55
161,1,25.25,-150.67
162,1,22.52,172.09
163,1,21.39,171.01
164,1,35.66,-156.46
165,1,33.93,-171.23
166,1,32.46,165.22
167,1,21.22,167.17
168,1,21.51,173.56
169,1,35.34,-169.47
170,1,18.1,166.87
171,1,20.49,160.84
172,1,21.82,163
173,1,19.4,160.6
174,1,20.08,172.52
175,1,31.17,-168.89
176,1,26.88,163.22
177,1,27.3,-175.52
178,1,19.57,161.62
179,1,22.05,-164.47
180,1,31.53,168.64
181,1,16.25,161.11
182,1,31.66,-161.3
183,1,24.58,168.67
184,1,20.53,164.27
185,1,32.69,171.55
186,1,22.11,-169.23
187,1,17.89,176.77
188,1,27.93,165.97
189,1,32.03,-178.63
190,1,22.81,170.76
191,1,27.21,-169.28
192,1,27.82,-162.15
193,1,16.36,167.3
194,1,22.82,170.54
195,1,21.45,171.39
196,1,32.37,-171.95
197,1,23.22,172.34
198,1,18.41,165.34
199,1,18.28,168.2
200,1,32.53,-178.31
201,1,32.95,-179.1
202,1,31.7,-151.49
203,1,25.61,164.38
204,1,26.6,-176.56
205,1,30.58,166.09
206,1,15.98,160.14
207,1,33.34,175.34
208,1,23.67,162.53
209,1,11.03,157.05
210,1,24.34,165.83
211,1,33.81,176.2
212,1,25.87,-173.32
213,1,21.89,179.18
214,1,20.13,175.19
215,1,18.63,166.37
216,1,22.81,161.99
217,1,23.73,168.78
218,1,25.96,-179.58
219,1,17.42,-157.71
220,1,18.18,163.95
221,1,23.5,177.69
222,1,25.46,169.83
223,1,32.52,173.52
224,1,20.61,161.9
225,1,22.28,-176.47
226,1,32.2,173.7
227,1,17.18,157.92
228,1,27.72,-162.14
229,1,31.57,179.67
230,1,19.26,159.49
231,1,19.72,-179.4
232,1,23.55,169.09
233,1,28.8,165.63
234,1,32.1,-166.05
235,1,21.49,-179.78
236,1,23.99,172.02
237,1,22.66,-170.06
238,1,22.92,171.22
239,1,17.53,172.43
240,1,19.97,170.61
241,1,30.35,166.51
242,1,22.38,175.99
243,1,28.73,169.45
244,1,28.53,169.3
245,1,29.46,171.68
246,1,23.95,172.64
247,1,23.7,170.8
248,1,26.77,170.55
249,1,19.74,-179.25
250,1,35.56,163.79
251,1,25.23,175.78
252,1,27.76,173.76
253,1,28.07,-162.37
254,1,23.93,162.12
255,1,32.11,-153.4
256,1,24.94,167.62
257,1,26.86,167.09
258,1,21.52,169.14
259,1,35.93,-177.81
260,1,17.58,-175.15
261,1,32.65,-179.41
262,1,21,168.53
263,1,31.51,-169.09
264,1,32.86,-177.81
265,1,27.83,-162.23
266,1,29.51,166.04
267,1,32.68,-152.58
268,1,18.12,164.28
269,1,20.99,163.15
270,1,28.27,171.89
271,1,15,161.24
272,1,21.64,174.55
273,1,29.28,-176.21
274,1,31.96,165.59
275,1,25.97,164.08
276,1,27.72,165.67
277,1,34.96,-154.75
278,1,27.14,167.57
279,1,20.35,168.13
280,1,21.68,175.14
281,1,35.85,-164.89
282,1,17.86,163.09
283,1,23.84,-177.68
284,1,31.7,-153.48
285,1,25.54,164.24
286,1,18.26,162.16
287,1,31.21,166.05
288,1,35.51,-157.54
289,1,27.55,-179.18
290,1,22.24,-179.5
291,1,23.93,162.12
292,1,30.64,-154.76
293,1,21.73,-149.72
294,1,23.34,168.4
295,1,31.36,166.09
296,1,21.67,174.47
297,1,21.03,175.85
298,1,21.06,167.76
299,1,44.95,-176.84
300,1,25.84,-157.55
301,1,20.81,165.28
302,1,30.98,-154.87
303,1,22.85,170.52
304,1,15.65,164.07
305,1,28.61,169.63
306,1,23.01,-150.54
307,1,32.23,-178.71
308,1,18.05,157.33
309,1,21.92,179.08
310,1,30.2,175.05
311,1,33.77,-155.88
312,1,9.8,153.18
313,1,35.69,163.81
314,1,18.19,176.85
315,1,29.79,173.57
316,1,19.1,-178.73
317,1,21.06,166.73
318,1,28,-175.7
319,1,28.13,-169.6
320,1,23.02,-155.76
321,1,30.26,167.03
322,1,27.69,-176.98
323,1,20.35,168.13
324,1,33.6,-155.95
325,1,29.86,173.33
326,1,24.57,171.47
327,1,27.75,-167.18
328,1,21.85,171.74
329,1,29.17,168.17
330,1,32.07,-168.48
331,1,27.36,-169.21
332,1,32,178.28
333,1,22.78,-177.02
334,1,25.6,-179.57
335,1,28.24,169.33
336,1,23.04,168.26
337,1,28.71,-178.84
338,1,21.85,174.47
339,1,25.3,-150.72
340,1,24.51,-167.2
341,1,15.57,168.82
342,1,34.91,-163.54
343,1,19.75,-179.58
344,1,35.16,-179.17
345,1,25.9,-157.37
346,1,20.43,170.24
347,1,27.89,172.31
348,1,27.81,166.21
349,1,20.98,176.13
350,1,24.05,162.11
351,1,19.66,167.01
352,1,33.96,-157.63
353,1,24.59,170.57
354,1,30.51,-177.8
355,1,26.43,-178.35
356,1,32.59,179.32
357,1,45.54,177.85
358,1,19.92,161.74
359,1,21.41,165.03
360,1,22.11,-173.77
361,1,18.38,163.3
362,1,22.51,177.05
363,1,25.04,177.91
364,1,19.63,170.65
365,1,28.9,169.5
366,1,19.5,-179.92
367,1,19.93,161.01
368,1,19.52,166.18
369,1,18.43,168.94
370,1,24.71,-162.72
371,1,25.11,176.09
372,1,41.74,169.22
373,1,19.4,162.52
374,1,19.16,161.23
375,1,23.59,163.42
376,1,23.54,-150.67
377,1,16.45,-170.52
378,1,20.02,170.07
379,1,29.05,-162.8
380,1,27.69,-176.98
381,1,24.07,-177.03
382,1,23.63,-150.77
383,1,26.42,177.87
384,1,21.35,168.55
385,1,27.04,-161.89
386,1,35.41,-158.41
387,1,30.01,168.24
388,1,15.04,153.72
389,1,17.01,158.74
390,1,32.62,-173.55
391,1,15.4,156.71
392,1,20.88,179.94
393,1,21.09,172.17
394,1,19.59,-178.62
395,1,17.89,164.06
396,1,23.34,170.55
397,1,15.1,162.39
398,1,17.51,165.64
399,1,28.78,169.4
400,1,19.78,170.09
401,1,35.53,-157.32
402,1,25.15,176.31
403,1,18.66,171.16
404,1,19.63,170.65
405,1,27.86,-162.8
406,1,21.39,171.01
407,1,31.83,178.96
408,1,35.02,179.55
409,1,35.64,163.7
410,1,21.9,-149.89
411,1,28.72,-165.68
412,1,17.93,166.58
413,1,32.11,-178.94
414,1,15.01,161.32
415,1,21.47,166.04
416,1,32.6,-152.87
417,1,16.91,-157.87
418,1,32.15,-178.38
419,1,20.72,174.73
420,1,22.6,170.18
421,1,19.96,161
422,1,44.56,-179.1
423,1,29.57,-176.88
424,1,15.38,-174.88
425,1,33.03,-163.8
426,1,34.54,166.33
427,1,20.69,162.49
428,1,22.03,168.03
429,1,18.37,163.66
430,1,21.55,166.35
431,1,15.64,-174.81
432,1,35.47,-157.97
433,1,32.52,171.58
434,1,24.58,170.12
435,1,29.15,-179.37
436,1,13.97,155.1
437,1,22.59,-175.9
438,1,21.34,174.9
439,1,25.58,176.89
440,1,28.21,-162.52
441,1,35.49,-158.06
442,1,25.2,163.2
443,1,19.62,175.74
444,1,23.88,-177.73
445,1,17.78,-176.03
446,1,17.87,163.28
447,1,19.17,160.12
448,1,30.03,-151.98
449,1,48.08,173.64
450,1,38.99,-165.58
451,1,45.91,-179.17
452,1,35.93,-177.8
453,1,32.58,-177.39
454,1,34.19,166.51
455,1,30.35,-178.33
456,1,25.86,-169.05
457,1,32.61,-177.73
458,1,27.32,-179.71
459,1,23.96,-177.52
460,1,28.4,165.03
461,1,32.72,-173.76
462,1,35.26,-155.18
463,1,39.18,-179.48
464,1,20.08,172.52
465,1,24.58,168.67
466,1,25.96,-157.06
467,1,25.16,175.51
468,1,17.81,166.75
469,1,22.39,169.4
470,1,19.58,160.78
471,1,31.28,-153.71
472,1,34.18,166.55
473,1,19.8,160.9
474,1,22.74,-166.15
475,1,32.72,-179.7
476,1,16.83,-163.1
477,1,26.67,166.34
478,1,16.51,159.67
479,1,18.58,166
480,1,20.25,162.19
481,1,23.29,164.6
482,1,26.61,164.61
483,1,34.94,-163.7
484,1,19.98,163.21
485,1,20.29,166.53
486,1,20.19,167.89
487,1,14.97,161.22
488,1,24.68,174.11
489,1,39.31,-175.56
490,1,29.72,-173.95
491,1,29.54,177.42
492,1,20.49,-177.78
493,1,18.18,164.91
494,1,32.53,-152.68
495,1,20.51,160.75
496,1,23.46,170.62
497,1,19.56,170.72
498,1,33.68,174.25
499,1,21.6,164.18
500,1,25.47,165.41
501,1,26.54,166.41
502,1,32.46,-162.98
503,1,30.06,-176.19
504,1,22.71,-160.03
505,1,19.17,178.78
506,1,27.59,-177.42
507,1,20.37,176.02
508,1,33.29,165.38
509,1,28.68,177.74
510,1,33.14,-152.85
511,1,25.79,-150.2
512,1,30.06,-176.19
513,1,19.21,173.6
514,1,35.2,-168.09
515,1,23.7,162.67
516,1,20.42,166.11
517,1,34.31,-177.64
518,1,14.76,156.15
519,1,34.59,166.3
520,1,20.2,163.5
521,1,19.82,169.96
522,1,14.84,161.63
523,1,18.38,165.12
524,1,25.51,-179.15
525,1,32.95,-159.96
526,1,25.44,162.98
527,1,25.47,-170.84
528,1,33.44,166.53
529,1,35.87,-157.44
530,1,24.94,167.62
531,1,15.07,157.81
532,1,23.53,-160.53
533,1,20.68,175.24
534,1,26.97,-179.62
535,1,23.7,173.34
536,1,35.73,-156.44
537,1,20.76,168.26
538,1,13.01,153.75
539,1,20.29,160.69
540,1,31.82,-153.16
541,1,23.92,-150.03
542,1,28.71,169.9
543,1,36.75,-158.83
544,1,35.48,-158.01
545,1,25.7,-179.8
546,1,16.35,166.84
547,1,33.92,166.34
548,1,32.34,-178.62
549,1,30.61,167.45
550,1,24.13,175.46
551,1,32.17,-168.56
552,1,23.43,170.58
553,1,29.61,169.96
554,1,21.39,-172.95
555,1,18.25,163.82
556,1,27.58,-177.07
557,1,6.31,156.43
558,1,21.94,177.35
559,1,22.48,163.99
560,1,33.31,-155.42
561,1,18.72,159.96
562,1,25.85,163.15
563,1,33.29,-170.91
564,1,46,-178.99
565,1,21.22,167.17
566,1,19.65,160.71
567,1,31.77,173.65
568,1,35.85,-164.89
569,1,22.76,-150.55
570,1,34.73,179.63
571,1,22.55,178.08
572,1,17.61,158.15
573,1,21.25,166.34
574,1,27.97,-166.93
575,1,17.79,163.33
576,1,28.49,173.73
577,1,32.3,177.12
578,1,17.53,172.43
579,1,23.39,170.57
580,1,30.02,166.34
581,1,22.2,168.42
582,1,25.67,165.64
583,1,22.04,-148.6
584,1,21.33,166.09
585,1,28.23,-179.41
586,1,24.04,167.19
587,1,33.24,174.69
588,1,13.08,154.71
589,1,26.58,166.54
590,1,25.58,175.86
591,1,23.53,-150.72
592,1,15.12,-152.39
593,1,27.9,168.81
594,1,23.51,163.58
595,1,21.03,167.51
596,1,22.08,-179.05
597,1,22.31,163.49
598,1,22.88,-158.84
599,1,23.27,170.8
600,1,25.77,167.35
601,1,24.61,161.47
602,1,18.14,163.73
603,1,21.63,176.91
604,1,33.33,-175.74
605,1,26.63,167
606,1,25.5,164.32
607,1,19.26,159.47
608,1,18.15,166.96
609,1,45.25,172.93
610,1,19.36,165.38
611,1,35.26,-157.14
612,1,21.73,-178.97
613,1,18.98,171.92
614,1,19.75,179.66
615,1,27.83,-162.11
616,1,35.58,179.93
617,1,30.17,-152.04
618,1,29.51,166.63
619,1,25.99,-178.87
620,1,25.27,172.34
621,1,18.73,172.71
622,1,16.36,160.65
623,1,31.08,-161.41
624,1,15.07,161.3
625,1,18.16,163.28
626,1,32.95,173.14
627,1,18.33,166.09
628,1,34.88,-168.94
629,1,17.26,-142.34
630,1,15.59,168.82
631,1,27.77,-178.75
632,1,29.68,165.94
633,1,22.06,176.6
634,1,35.87,-177.67
635,1,33.58,-153.36
636,1,17.37,159.87
637,1,22.97,165.04
638,1,32.37,-178.61
639,1,31.59,176.39
640,1,25.08,165.49
641,1,33.03,-153.04
642,1,22.92,175.46
643,1,35.77,-157.82
644,1,23.86,-177.75
645,1,24.57,-161.71
646,1,23.98,161.99
647,1,32.96,-159.92
648,1,24.61,173.53
649,1,19.68,160.38
650,1,25.28,175.47
651,1,18.94,-173.76
652,1,20.79,163.4
653,1,28.66,-163.53
654,1,22.55,169.81
655,1,34.86,-163.45
656,1,25.22,-176.68
657,1,23.99,172.02
658,1,23.16,173.77
659,1,22.14,-155.42
660,1,32.55,-154.08
661,1,25.5,167.89
662,1,21.61,172.81
663,1,26.03,-177.51
664,1,22.76,170.4
665,1,35.97,-164.97
666,1,22.45,169.35
667,1,35.63,-156.8
668,1,29.78,173.35
669,1,33.99,179.68
670,1,19.75,-179.59
671,1,16.45,-170.52
672,1,32.95,172.78
673,1,20.56,-176.6
674,1,43.73,-177.51
675,1,34.01,166.27
676,1,20.76,170.65
677,1,32.73,165.45
678,1,33.96,166.27
679,1,28.7,175.2
680,1,35.34,-169.5
681,1,18.21,177.89
682,1,19.03,170.52
683,1,20.6,176.71
684,1,19.64,162.17
685,1,36.2,-179.26
686,1,22.5,166.7
687,1,25.45,165.12
688,1,31.51,166.07
689,1,25.24,176.41
690,1,27.27,165.16
691,1,30.48,170.88
692,1,23.8,162.46
693,1,32.37,171.37
694,1,33.76,-160.79
695,1,18.26,-178.79
696,1,22.66,-170.06
697,1,26.89,163.18
698,1,35.64,163.7
699,1,29.17,169.68
700,1,45.79,-174.24
701,1,21.74,177.18
702,1,23.72,-179.24
703,1,21.02,-161.33
704,1,19.37,168.82
705,1,23.2,-174.81
706,1,8.81,147.37
707,1,25.64,168.24
708,1,26.3,164.86
709,1,18.29,160.61
710,1,21.3,166.79
711,1,24.53,-177.05
712,1,18.61,165.82
713,1,18.99,160.04
714,1,28.21,-162.52
715,1,26.36,-171.32
716,1,30.14,170.25
717,1,32.6,-152.87
718,1,32.46,179.79
719,1,32.08,-172.01
720,1,19.62,160.22
721,1,20.72,-177.17
722,1,34.17,174.77
723,1,39.06,-178.63
724,1,25.19,176.83
725,1,19.92,170
726,1,26.69,167.31
727,1,21.95,176.1
728,1,41.82,-170.05
729,1,30.35,166.51
730,1,15.6,-158.06
731,1,22.08,162.38
732,1,17.89,167.01
733,1,15,161.24
734,1,24.89,165.17
735,1,23.87,173.63
736,1,27.53,165.94
737,1,21.94,175.26
738,1,26.52,-149.49
739,1,34.49,178.03
740,1,27.77,166.36
741,1,17.21,159.56
742,1,26.72,-162.06
743,1,20.4,162.48
744,1,24.62,-167
745,1,17.83,159.68
746,1,20.85,170.21
747,1,19.36,162.84
748,1,27.53,-164.58
749,1,30,-179.2
750,1,19.09,-179.68
751,1,20.61,167.18
752,1,23.22,-150.67
753,1,21.08,169.65
754,1,30.51,-177.8
755,1,22.43,169.52
756,1,18.73,-168.61
757,1,13.89,159.76
758,1,27.42,-169.29
759,1,45.11,-175.03
760,1,18.77,159.76
761,1,17.37,167.1
762,1,28.94,-167.51
763,1,33.61,175.4
764,1,27.92,-179.65
765,1,28.11,-169.64
766,1,35.61,-177.37
767,1,21.34,-149.3
768,1,19.44,160.68
769,1,20.14,-176.19
770,1,25.82,163.31
771,1,30.48,171.04
772,1,18.27,158.99
773,1,22.63,-178.65
774,1,19.9,170.59
775,1,33.24,-174.58
776,1,37.99,-177.11
777,1,22.41,170.18
778,1,18.72,171.69
779,1,32.34,-152.11
780,1,22.82,170.75
781,1,27.67,170.46
782,1,20.13,161.55
783,1,32.55,172.41
784,1,30.1,175.62
785,1,26.67,172.91
786,1,20.75,163.11
787,1,17.84,172.1
788,1,45.94,-179.2
789,1,18.96,179.21
790,1,22.3,163.27
791,1,27.11,-169.23
792,1,31.66,-161.3
793,1,20.12,170.28
794,1,25.41,-150.56
795,1,21.26,-154.78
796,1,28.51,167.15
797,1,32.99,165.86
798,1,33.45,-156.3
799,1,28.08,169.61
800,1,36.44,-158.82
801,1,25.02,-172.98
802,1,22.16,163.33
803,1,23.26,170.77
804,1,25.2,163.5
805,1,27.36,-162.04
806,1,35.02,-163.74
807,1,22.63,170.39
808,1,20.49,172.75
809,1,26.58,172.45
810,1,27.81,166.21
811,1,33.2,-153.09
812,1,33.95,174.15
813,1,21.61,169.36
814,1,20.22,175.85
815,1,23.51,162.53
816,1,41.94,-178.32
817,1,18.02,159.68
818,1,25.53,165.74
819,1,34.73,179.29
820,1,27.28,-169.32
821,1,32.58,-178.14
822,1,25.52,-170.14
823,1,21.56,162.84
824,1,26.39,166.1
825,1,25.32,176.49
826,1,34.01,-175.79
827,1,9.6,171.57
828,1,17.21,159.56
829,1,37.54,-178.44
830,1,34.8,-169.28
831,1,19.82,175.57
832,1,32.44,-155.11
833,1,21.83,178.62
834,1,28.69,171.28
835,1,28.99,169.55
836,1,21.52,163.08
837,1,31.86,-153.01
838,1,18.95,167.97
839,1,24.71,-177.96
840,1,37.17,164.9
841,1,27.39,179.03
842,1,32.71,-173.42
843,1,31.28,-173.17
844,1,18.1,159.67
845,1,13.2,159.35
846,1,20.15,-179.71
847,1,24.85,-162.73
848,1,13.82,156.67
849,1,38.95,-179.16
1B,0,19.66,170.44
851,1,25.69,-173.74
852,1,31.41,166.07
853,1,27.17,-169.39
854,1,21.8,171.82
855,1,28.62,-179.05
856,1,15.84,160.79
857,1,18.78,159.24
858,1,32.49,165.2
859,1,25.23,-172.09
860,1,12.04,151.98
861,1,25.21,171.72
862,1,21.07,166.55
863,1,22.17,177.15
864,1,25.8,163.47
865,1,29.49,168.54
866,1,27.23,-176.88
867,1,22.66,161.71
868,1,29.65,167.76
869,1,27.21,-169.36
870,1,18.41,165.34
871,1,34.1,166.59
872,1,29.02,174.12
873,1,21.99,172.79
874,1,23.92,176.66
875,1,34.89,-178.33
876,1,36.7,-165.13
877,1,21.78,-176.41
878,1,34.41,178.22
879,1,20.85,167.34
880,1,29.32,-175.32
881,1,15.21,-160.55
882,1,21.88,170.68
883,1,7.84,144.58
884,1,32.87,176.85
885,1,22.15,168.84
886,1,32.56,172.51
887,1,20.83,-152.82
888,1,23.12,-150.65
889,1,19.95,-169.07
890,1,20.81,164.62
891,1,28.44,-158.4
892,1,33.54,-153.74
893,1,17.68,175.53
894,1,17.72,158.34
895,1,23.69,175.21
896,1,19,161.01
897,1,17.3,158.53
898,1,20.1,160.93
899,1,25.51,164.44
900,1,18.09,164.86
901,1,19.81,-179.53
902,1,15.16,-167.99
903,1,34.89,-178.33
904,1,19.74,160.79
905,1,22.59,-169.98
906,1,35.38,-169.4
907,1,21.45,162.74
908,1,34.86,166.11
909,1,21.52,161.23
910,1,21.2,166.01
911,1,21.28,162.84
912,1,35.34,163.68
913,1,20.66,176.19
914,1,19.64,-162.6
915,1,32.68,-178.2
916,1,26.92,172.25
917,1,22.13,-155.44
918,1,21.35,174.55
919,1,21.74,172.08
920,1,25.68,176.86
921,1,19.65,170.02
922,1,35.54,-156.85
923,1,31.17,-168.89
924,1,19.26,159.49
925,1,27.73,-149.59
926,1,22.36,175.68
927,1,14.58,-166.03
928,1,20.77,165.84
929,1,18.26,160.99
930,1,21.35,178.23
931,1,20.72,-177.17
932,1,15.47,-155.65
933,1,31.87,-153.36
934,1,17.86,158.52
935,1,19.55,-179.49
936,1,30.95,-161.59
937,1,22.07,163.05
938,1,34.92,-163.62
939,1,22.08,169.54
940,1,21.3,165.94
941,1,17.88,-172.22
942,1,28.98,-178.66
943,1,21.75,175.75
944,1,21.72,174.81
945,1,30.61,171.69
946,1,22.45,-150.07
947,1,32.17,-168.56
948,1,27.27,178.9
949,1,24.8,-178.61
950,1,32.4,-178.44
951,1,21.02,173.19
952,1,17.49,158.63
953,1,22.91,169.74
954,1,15.11,-161.39
955,1,22.15,163.31
956,1,26.35,166.12
957,1,32.3,177.12
958,1,28.12,177.29
959,1,21.51,167.24
960,1,27.76,-162.15
961,1,21.92,161.48
962,1,16,159.62
963,1,33.58,-153.36
964,1,32.45,-178.37
965,1,30.04,170.19
966,1,18.99,164.12
967,1,19.58,160.04
968,1,20.88,168.13
969,1,28.48,169.25
970,1,17.62,158.39
971,1,17.58,161.62
972,1,36.42,-177.82
973,1,34.86,179.48
974,1,22.71,-159.99
975,1,35.52,-158.31
976,1,34.03,166.61
977,1,17.98,163
978,1,14.64,156.54
979,1,27.55,-168.32
980,1,24.42,170.55
981,1,19.97,170.61
982,1,29.12,178.31
983,1,29.46,-177.37
984,1,23.29,164.6
985,1,10.73,154.23
986,1,29.56,169.86
987,1,32.53,-153.66
988,1,27.23,-169.34
989,1,22.98,175.69
990,1,13.46,152.4
991,1,17.6,178.52
992,1,39.86,-166.67
993,1,46.39,-179.5
994,1,23.85,172.95
995,1,19.6,-179.46
996,1,32.55,172.41
997,1,19.08,168.34
998,1,24.52,170.79
999,1,23.97,-177.74
1000,1,36.18,-178.06
1001,1,19.75,161.09
1002,1,32.56,172.51
1003,1,35.65,163.71
1004,1,27.79,175.91
1005,1,25.67,170.8
1006,1,32.31,179.4
1007,1,26.71,166.3
1008,1,34.12,176.21
1009,1,15.71,-174.7
1010,1,32.28,-178.1
1011,1,20.48,174.83
1012,1,31.69,-161.33
1013,1,20.52,174.86
1014,1,23.62,-150.6
1015,1,22.48,169.46
1016,1,15.01,161.43
1017,1,19.49,-177.34
1018,1,18.25,168.66
1019,1,32.11,-178.94
1020,1,25.67,165.64
1021,1,24.13,165.15
1022,1,20.48,168.3
1023,1,35.67,-157.38
1024,1,16.77,158.11
1025,1,43.27,-166.74
1026,1,25.28,173.35
1027,1,22.84,163.64
1028,1,32.32,166.57
1029,1,20.7,167.28
1030,1,19.52,166.18
1031,1,22.13,-155.44
1032,1,27.16,167.29
1033,1,18.96,159.78
1034,1,19.28,175.51
1035,1,35.51,-157.96
1036,1,31.56,175.46
1037,1,33.4,-165.33
1038,1,17.89,167.01
1039,1,20.23,170.14
1040,1,28.62,175.19
1041,1,29.18,-179.39
1042,1,25.69,-179.46
1043,1,31.57,171.83
1044,1,28.87,169.48
1045,1,23.95,-153.94
1046,1,25.5,167.89
1047,1,35.02,179.22
1048,1,35.7,163.72
1049,1,20.47,179.53
1050,1,28.02,170.49
1051,1,21.97,172.33
1052,1,26.75,166.6
1053,1,27.8,174.17
1054,1,34.97,179.41
1055,1,45.85,-179.08
1056,1,25.76,163.9
1057,1,14.72,160.8
1058,1,19.64,-162.6
1059,1,20.25,162.92
1060,1,20.09,170.19
1061,1,21.8,161.76
1062,1,22.82,179.58
1063,1,20.41,160.83
1064,1,35.86,-157.47
1065,1,24.71,-176.82
1066,1,29.29,172.28
1067,1,26.26,162.8
1068,1,22.22,163.23
1069,1,22.43,163.73
1070,1,20.13,-179.09
1071,1,20.05,161.99
1072,1,21.35,172.65
1073,1,28.51,167.15
1074,1,32.49,-152.18
1075,1,35.2,-169.23
1076,1,19.82,169.96
1077,1,21.84,163.13
1078,1,31.35,167.76
1079,1,32.62,-173.54
1080,1,26.34,167.54
1081,1,24.71,171.71
1082,1,34.89,179.36
1083,1,35.43,163.74
1084,1,25.8,-172.23
1085,1,25.2,175.86
1086,1,32.58,172.55
1087,1,15.31,157.39
1088,1,33.19,165.46
1089,1,28.5,175.16
1090,1,21,168.24
1091,1,31.42,178.14
1092,1,24.4,165.85
1093,1,20.98,170.3
1094,1,21.61,166.07
1095,1,33.39,164.56
1096,1,21.27,166.76
1097,1,30.55,174.34
1098,1,26.67,178.34
1099,1,33.69,-165.39
1100,1,34.01,-175.79
1101,1,23.36,170.61
1102,1,22.61,-161.81
1103,1,23.38,-150.18
1104,1,26.03,-177.51
1105,1,36.41,-165.66
1106,1,29.29,177.23
1107,1,20.77,163.49
1108,1,31.83,-177.42
1109,1,30.45,176.62
1110,1,21.42,174.56
1111,1,17.68,175.53
1112,1,34.81,-172.94
1113,1,19.25,170.84
1114,1,26.25,-177.28
1115,1,17.29,158.17
1116,1,18.97,160.97
1117,1,25.33,175.29
1118,1,17.69,162.53
1119,1,33.76,-172.43
1120,1,34.54,166.33
1121,1,17.68,161.17
1122,1,28.88,175.6
1123,1,33.25,-155.34
1124,1,27.1,-175.49
1125,1,25.61,-179.55
1126,1,15.31,157.39
1127,1,26.14,-158.03
1128,1,30.45,-155.74
1129,1,23.92,-159.31
1130,1,28.78,169.4
1131,1,33.23,-168.51
1132,1,21.48,170.26
1133,1,22.34,163.09
1134,1,22.44,176.98
1135,1,27.26,-169.04
