,Start of Path,End of Path,Number of Cars on Path
419,3A,18982,17.0
420,3A,12522,0.0
421,3A,20396,0.0
422,3A,14145,0.0
423,3A,16014,91.0
424,3A,14078,0.0
425,3A,9300,92.0
426,3A,21072,136.0
427,3A,13574,0.0
428,3A,13687,0.0
429,3A,20925,0.0
430,3A,21569,104.0
431,3A,16790,41.0
432,3A,14869,212.0
433,3A,17280,330.0
434,3A,14197,48.0
435,3A,16281,0.0
436,3A,21611,83.0
437,3A,20415,400.0
438,3A,16233,0.0
439,3A,14482,0.0
440,3A,14766,0.0
441,3A,9196,0.0
442,3A,16751,0.0
443,3A,13688,0.0
444,3A,16744,112.0
445,3A,19417,0.0
446,3A,19313,0.0
447,3A,12974,0.0
448,3A,17992,0.0
449,3A,15238,175.0
450,3A,14047,64.0
451,3A,13330,185.0
452,3A,20969,0.0
453,3A,8754,0.0
454,3A,20080,163.0
455,3A,15283,0.0
456,3A,16190,0.0
457,3A,16244,0.0
458,3A,19838,0.0
459,3A,16478,0.0
460,3A,16789,779.0
461,3A,14629,63.0
462,3A,16016,0.0
463,3A,15704,0.0
464,3A,15464,0.0
465,3A,14988,0.0
466,3A,18421,14.0
467,3A,8631,75.0
468,3A,13338,52.0
469,3A,16434,0.0
470,3A,15605,0.0
471,3A,16561,0.0
472,3A,12331,103.0
473,3A,15514,0.0
474,3A,13285,13.0
475,3A,14688,0.0
476,3A,18784,0.0
477,3A,19776,0.0
478,3A,14290,0.0
479,3A,20416,0.0
480,3A,12240,198.0
481,3A,12055,0.0
482,3A,18933,63.0
483,3A,19236,0.0
484,3A,14371,0.0
485,3A,14061,0.0
486,3A,15550,0.0
487,3A,9120,0.0
488,3A,19227,13.0
489,3A,18437,0.0
490,3A,12031,17.0
491,3A,18803,37.0
492,3A,15161,70.0
493,3A,18927,0.0
494,3A,16359,58.0
495,3A,20702,0.0
496,3A,13264,14.0
497,3A,15074,84.0
498,3A,18547,0.0
499,3A,13708,0.0
500,3A,12022,0.0
501,3A,15846,10.0
502,3A,12822,39.0
503,3A,19414,76.0
504,3A,20123,28.0
505,3A,8748,0.0
506,3A,15968,93.0
507,3A,15255,0.0
508,3A,19692,0.0
509,3A,15767,0.0
510,3A,19760,0.0
511,3A,19791,8.0
512,3A,19660,0.0
513,3A,20931,0.0
514,3A,20424,80.0
515,3A,12165,11.0
516,3A,12517,0.0
517,3A,13577,81.0
518,3A,9160,0.0
519,3A,9387,0.0
520,3A,14561,67.0
521,3A,20383,0.0
522,3A,19082,0.0
523,3A,12235,34.0
524,3A,19523,22.0
525,3A,8491,115.0
526,3A,12542,35.0
527,3A,12571,21.0
528,3A,14104,98.0
529,3A,12267,0.0
530,3A,18782,0.0
531,3A,13785,147.0
532,3A,14442,0.0
533,3A,20016,58.0
534,3A,13182,99.0
535,3A,20082,29.0
536,3A,20557,30.0
537,3A,13795,0.0
538,3A,16210,52.0
539,3A,19700,39.0
540,3A,14809,311.0
541,3A,19024,0.0
542,3A,20691,44.0
543,3A,19638,0.0
544,3A,19866,0.0
545,3A,16737,89.0
546,3A,1870,0.0
547,3A,12242,0.0
548,3A,12811,0.0
549,3A,12162,96.0
550,3A,20716,0.0
551,3A,14546,0.0
552,3A,16760,0.0
553,3A,15556,0.0
554,3A,17994,0.0
555,3A,15312,54.0
556,3A,16543,37.0
557,3A,13480,0.0
558,3A,20146,0.0
559,3A,9336,27.0
560,3A,19588,0.0
561,3A,19623,0.0
562,3A,13123,103.0
563,3A,13738,0.0
564,3A,16247,0.0
565,3A,12586,5.0
566,3A,20586,0.0
567,3A,12241,92.0
568,3A,15812,0.0
569,3A,16174,0.0
570,3A,14820,35.0
571,3A,19654,0.0
572,3A,17883,0.0
573,3A,12850,122.0
574,3A,13122,0.0
575,3A,14086,0.0
576,3A,14035,51.0
577,3A,20189,0.0
578,3A,16259,326.0
579,3A,15501,0.0
580,3A,9287,0.0
581,3A,14374,0.0
582,3A,9335,0.0
583,3A,16262,0.0
584,3A,18983,0.0
585,3A,8605,0.0
586,3A,16724,119.0
587,3A,13085,0.0
588,3A,9077,0.0
589,3A,12516,0.0
590,3A,14977,0.0
591,3A,12321,0.0
592,3A,20449,242.0
593,3A,9344,0.0
594,3A,20655,0.0
595,3A,13938,0.0
596,3A,14411,163.0
597,3A,13150,0.0
598,3A,16104,0.0
599,3A,12149,135.0
600,3A,14213,80.0
601,3A,15618,0.0
602,3A,15499,0.0
603,3A,12590,0.0
604,3A,14011,0.0
605,3A,13183,0.0
606,3A,12236,127.0
607,3A,15457,0.0
608,3A,8627,21.0
609,3A,9402,153.0
610,3A,17922,13.0
611,3A,19989,0.0
612,3A,18350,195.0
613,3A,18519,0.0
614,3A,9319,162.0
615,3A,15676,0.0
616,3A,14831,0.0
617,3A,17286,0.0
618,3A,15640,0.0
619,3A,20596,0.0
620,3A,20590,0.0
621,3A,14251,134.0
622,3A,20909,43.0
623,3A,19949,41.0
624,3A,13779,63.0
625,3A,13347,68.0
626,3A,12595,11.0
627,3A,19754,65.0
628,3A,8497,0.0
629,3A,20410,363.0
630,3A,16756,52.0
631,3A,15982,0.0
632,3A,19387,15.0
633,3A,12562,0.0
634,3A,17281,0.0
635,3A,21097,0.0
636,3A,15873,0.0
637,3A,18550,0.0
638,3A,19456,28.0
639,3A,18365,0.0
640,3A,16464,0.0
641,3A,16074,0.0
642,3A,12626,0.0
643,3A,12385,0.0
644,3A,20329,22.0
645,3A,13926,67.0
646,3A,15673,0.0
647,3A,16144,0.0
648,3A,9226,42.0
649,3A,15695,195.0
650,3A,14428,77.0
651,3A,12514,64.0
652,3A,9394,0.0
653,3A,16231,0.0
654,3A,15182,0.0
655,3A,18435,89.0
656,3A,20087,0.0
657,3A,16782,30.0
658,3A,14469,0.0
659,3A,15275,113.0
660,3A,14709,76.0
661,3A,13422,154.0
662,3A,19384,27.0
663,3A,16743,0.0
664,3A,16315,123.0
665,3A,13120,0.0
666,3A,15089,0.0
667,3A,8494,35.0
668,3A,9142,63.0
669,3A,14320,0.0
670,3A,13831,94.0
671,3A,13449,247.0
672,3A,20846,0.0
673,3A,12143,275.0
674,3A,19853,16.0
675,3A,15380,0.0
676,3A,16200,0.0
677,3A,13850,0.0
678,3A,19342,0.0
679,3A,15395,0.0
680,3A,20178,85.0
681,3A,13512,0.0
682,3A,21285,0.0
683,3A,9112,44.0
684,3A,15639,33.0
685,3A,12831,0.0
686,3A,20117,0.0
687,3A,21318,0.0
688,3A,19201,0.0
689,3A,15437,0.0
690,3A,11901,3.0
691,3A,14641,0.0
692,3A,15564,0.0
693,3A,19126,0.0
694,3A,18612,0.0
695,3A,20787,64.0
696,3A,20605,0.0
697,3A,15115,0.0
698,3A,9201,26.0
699,3A,15198,0.0
700,3A,9099,0.0
701,3A,19696,0.0
702,3A,13822,30.0
703,3A,15691,0.0
704,3A,15000,0.0
705,3A,20218,0.0
706,3A,15266,0.0
707,3A,8614,9.0
708,3A,20330,0.0
709,3A,15091,31.0
710,3A,16490,7.0
711,3A,13429,0.0
712,3A,14081,0.0
713,3A,4036,0.0
714,3A,14506,0.0
715,3A,12396,23.0
716,3A,20827,16.0
717,3A,15744,100.0
718,3A,9252,0.0
719,3A,15515,4.0
720,3A,12794,82.0
721,3A,19332,14.0
722,3A,13879,31.0
723,3A,19689,31.0
724,3A,12139,0.0
725,3A,9153,91.0
726,3A,20832,32.0
727,3A,9230,0.0
728,3A,9243,154.0
729,3A,16276,0.0
730,3A,15005,25.0
731,3A,14274,0.0
732,3A,12723,49.0
733,3A,14140,0.0
734,3A,17492,184.0
735,3A,20414,125.0
736,3A,16415,0.0
737,3A,14910,0.0
738,3A,12387,0.0
739,3A,12798,0.0
740,3A,20283,21.0
741,3A,13868,322.0
742,3A,14915,12.0
743,3A,15120,0.0
744,3A,20555,0.0
745,3A,13946,0.0
746,3A,12893,67.0
747,3A,13166,0.0
748,3A,20140,0.0
749,3A,14176,13.0
750,3A,16156,4.0
751,3A,15527,12.0
752,3A,13813,0.0
753,3A,15465,49.0
754,3A,13860,25.0
755,3A,16708,0.0
756,3A,14782,96.0
757,3A,20378,67.0
758,3A,18786,49.0
759,3A,20604,0.0
760,3A,15412,0.0
761,3A,13545,0.0
762,3A,13902,0.0
763,3A,20151,23.0
764,3A,16670,97.0
765,3A,15778,0.0
766,3A,12880,68.0
767,3A,20091,0.0
768,3A,8623,0.0
769,3A,16260,0.0
770,3A,12860,0.0
771,3A,12101,61.0
772,3A,18469,0.0
773,3A,8742,0.0
774,3A,20450,0.0
775,3A,17860,156.0
776,3A,21051,0.0
777,3A,12848,0.0
778,3A,9380,30.0
779,3A,9256,0.0
780,3A,15997,0.0
781,3A,9416,22.0
782,3A,8770,140.0
783,3A,13960,109.0
784,3A,13669,0.0
785,3A,17995,18.0
786,3A,20394,253.0
787,3A,12791,0.0
788,3A,15736,0.0
789,3A,19483,58.0
790,3A,15660,63.0
791,3A,20679,19.0
792,3A,20793,0.0
793,3A,19378,19.0
794,3A,15413,174.0
795,3A,13748,0.0
796,3A,12176,0.0
797,3A,15271,0.0
798,3A,13696,105.0
799,3A,9141,33.0
800,3A,19698,0.0
801,3A,20447,114.0
802,3A,11867,0.0
803,3A,16289,0.0
804,3A,16267,0.0
805,3A,14552,32.0
806,3A,16320,0.0
807,3A,13280,0.0
808,3A,14261,0.0
809,3A,15652,239.0
810,3A,13933,0.0
811,3A,15772,0.0
812,3A,13641,14.0
813,3A,20472,56.0
814,3A,21064,0.0
815,3A,16307,91.0
816,3A,21302,0.0
817,3A,12460,22.0
818,3A,21102,93.0
819,3A,15717,268.0
820,3A,16188,72.0
821,3A,12388,0.0
822,3A,12792,211.0
823,3A,15349,22.0
824,3A,13496,0.0
825,3A,16097,0.0
826,3A,14890,81.0
827,3A,19972,0.0
828,3A,13218,0.0
829,3A,14611,0.0
830,3A,12231,55.0
831,3A,19978,229.0
832,3A,13174,0.0
833,3A,19777,26.0
834,3A,14423,20.0
835,3A,16033,0.0
836,3A,21275,0.0
837,3A,19699,35.0
838,3A,20622,0.0
839,3A,9324,0.0
840,3A,19099,6.0
841,3A,21090,0.0
842,3A,9130,70.0
843,3A,13653,12.0
844,3A,12322,120.0
845,3A,14218,12.0
846,3A,14567,50.0
847,3A,16686,0.0
848,3A,18439,0.0
849,3A,11900,0.0
850,3A,14486,125.0
851,3A,20444,24.0
852,3A,19529,0.0
853,3A,19670,5.0
854,3A,19286,43.0
855,3A,13167,49.0
856,3A,15690,0.0
857,3A,21053,0.0
858,3A,15253,0.0
859,3A,20351,25.0
860,3A,15934,0.0
861,3A,15610,60.0
862,3A,12440,0.0
863,3A,16649,217.0
864,3A,12895,0.0
865,3A,14105,0.0
866,3A,14006,7.0
867,3A,13216,0.0
868,3A,15415,37.0
869,3A,13869,118.0
870,3A,13527,77.0
871,3A,9244,74.0
872,3A,18379,0.0
873,3A,14315,0.0
874,3A,12198,121.0
875,3A,15338,27.0
876,3A,13063,9.0
877,3A,20625,0.0
878,3A,9246,123.0
879,3A,12123,0.0
880,3A,13701,0.0
881,3A,16287,0.0
882,3A,16271,0.0
883,3A,21098,28.0
884,3A,12203,0.0
885,3A,8675,0.0
886,3A,16517,0.0
887,3A,18798,12.0
888,3A,16230,115.0
889,3A,13828,0.0
890,3A,16080,38.0
891,3A,14711,14.0
892,3A,15170,151.0
893,3A,20460,111.0
894,3A,12632,11.0
895,3A,9312,60.0
896,3A,8493,0.0
897,3A,15806,133.0
898,3A,16293,101.0
899,3A,19778,19.0
900,3A,12686,0.0
901,3A,19131,29.0
902,3A,16209,107.0
903,3A,18265,192.0
904,3A,14701,0.0
905,3A,19511,0.0
906,3A,9152,0.0
907,3A,19816,0.0
908,3A,16416,294.0
909,3A,9131,0.0
910,3A,15874,59.0
911,3A,13637,0.0
912,3A,16395,23.0
913,3A,14919,0.0
914,3A,21493,0.0
915,3A,16205,52.0
916,3A,14434,0.0
917,3A,19870,0.0
918,3A,14418,0.0
919,3A,19649,0.0
920,3A,12799,0.0
921,3A,9279,0.0
922,3A,13245,0.0
923,3A,13369,40.0
924,3A,12146,74.0
925,3A,19445,21.0
926,3A,16725,0.0
927,3A,13356,89.0
928,3A,19929,16.0
929,3A,19374,0.0
930,3A,11856,0.0
931,3A,15705,0.0
932,3A,20044,0.0
933,3A,20153,24.0
934,3A,13624,52.0
935,3A,14712,0.0
936,3A,12847,0.0
937,3A,14422,53.0
938,3A,15124,0.0
939,3A,13511,0.0
940,3A,20295,0.0
941,3A,12277,0.0
942,3A,16426,71.0
943,3A,20593,0.0
944,3A,20475,0.0
945,3A,8654,0.0
946,3A,14706,19.0
947,3A,15959,44.0
948,3A,14885,111.0
949,3A,19440,0.0
950,3A,8637,105.0
951,3A,15138,0.0
952,3A,12128,0.0
953,3A,20284,0.0
954,3A,14050,0.0
955,3A,19722,40.0
956,3A,13261,70.0
957,3A,14698,16.0
958,3A,12182,50.0
959,3A,14325,39.0
960,3A,20353,46.0
961,3A,12191,21.0
962,3A,20242,66.0
963,3A,12802,82.0
964,3A,13987,0.0
965,3A,20624,0.0
966,3A,13720,97.0
967,3A,15471,0.0
968,3A,13709,36.0
969,3A,13966,0.0
970,3A,9083,58.0
971,3A,13344,0.0
972,3A,13912,0.0
973,3A,15226,35.0
974,3A,21687,0.0
975,3A,13995,30.0
976,3A,19459,0.0
977,3A,20800,0.0
978,3A,9286,57.0
979,3A,14691,76.0
980,3A,13149,124.0
981,3A,18842,8.0
982,3A,20837,0.0
983,3A,21022,0.0
984,3A,12702,16.0
985,3A,17849,0.0
986,3A,9206,20.0
987,3A,15473,81.0
988,3A,14791,358.0
989,3A,14626,20.0
990,3A,14724,19.0
991,3A,19458,122.0
992,3A,20193,47.0
993,3A,12463,0.0
994,3A,15051,0.0
995,3A,15585,0.0
996,3A,15637,0.0
997,3A,14871,0.0
998,3A,14415,0.0
999,3A,15109,24.0
1000,3A,16124,29.0
1001,3A,16418,32.0
1002,3A,12862,0.0
1003,3A,12693,0.0
1004,3A,18292,70.0
1005,3A,14476,0.0
1006,3A,21086,46.0
1007,3A,14581,0.0
1008,3A,15665,0.0
1009,3A,20618,0.0
1010,3A,15475,15.0
1011,3A,13434,27.0
1012,3A,16166,4.0
1013,3A,13440,48.0
1014,3A,13459,0.0
1015,3A,13992,15.0
1016,3A,14798,9.0
1017,3A,9403,20.0
1018,3A,16973,0.0
1019,3A,13644,0.0
1020,3A,8746,0.0
1021,3A,12427,2.0
1022,3A,19365,32.0
1023,3A,12185,0.0
1024,3A,19566,0.0
1025,3A,19477,0.0
1026,3A,15835,242.0
1027,3A,16208,156.0
1028,3A,16212,0.0
1029,3A,15860,0.0
1030,3A,19290,0.0
1031,3A,15677,95.0
1032,3A,19248,0.0
1033,3A,14686,19.0
1034,3A,19935,0.0
1035,3A,19914,0.0
1036,3A,20924,0.0
1037,3A,9146,18.0
1038,3A,14474,0.0
1039,3A,18973,59.0
1040,3A,8760,438.0
1041,3A,18425,225.0
1042,3A,13524,0.0
1043,3A,20482,0.0
1044,3A,20495,80.0
1045,3A,20954,0.0
1046,3A,19520,35.0
1047,3A,8517,0.0
1048,3A,14983,12.0
1049,3A,14880,22.0
1050,3A,16339,39.0
1051,3A,14678,10.0
1052,3A,15450,0.0
1053,3A,15993,176.0
1054,3A,13179,149.0
1055,3A,15641,0.0
1056,3A,12846,30.0
1057,3A,20468,96.0
1058,3A,16310,0.0
1059,3A,16219,0.0
1060,3A,11888,18.0
1061,3A,13397,0.0
1062,3A,14747,34.0
1063,3A,16762,0.0
1064,3A,20792,0.0
1065,3A,16284,209.0
1066,3A,13608,88.0
1067,3A,15770,0.0
1068,3A,8656,6.0
1069,3A,16602,103.0
1070,3A,13659,41.0
1071,3A,13858,0.0
1072,3A,12025,35.0
1073,3A,20391,241.0
1074,3A,18930,0.0
1075,3A,11899,30.0
1076,3A,8710,0.0
1077,3A,14361,0.0
1078,3A,14902,34.0
1079,3A,17827,3.0
1080,3A,15243,0.0
1081,3A,16668,0.0
1082,3A,18361,0.0
1083,3A,17226,0.0
1084,3A,14683,55.0
1085,3A,19767,0.0
1086,3A,12511,0.0
1087,3A,13539,0.0
1088,3A,12956,0.0
1089,3A,9353,82.0
1090,3A,20408,181.0
1091,3A,12603,6.0
1092,3A,16114,18.0
1093,3A,15620,236.0
1094,3A,14157,0.0
1095,3A,19356,0.0
1096,3A,19030,5.0
1097,3A,15979,142.0
1098,3A,21702,0.0
1099,3A,15310,90.0
1100,3A,18422,67.0
1101,3A,21535,0.0
1102,3A,16996,25.0
1103,3A,13571,0.0
1104,3A,20307,0.0
1105,3A,19538,20.0
1106,3A,16871,5.0
1107,3A,15861,0.0
1108,3A,19402,95.0
1109,3A,15290,18.0
1110,3A,12048,35.0
1111,3A,13351,14.0
1112,3A,15825,40.0
1113,3A,13951,0.0
1114,3A,20143,20.0
1115,3A,16234,142.0
1116,3A,19764,19.0
1117,3A,15406,459.0
1118,3A,15329,0.0
1119,3A,19380,0.0
1120,3A,19772,13.0
1121,3A,19597,0.0
1122,3A,14968,0.0
1123,3A,18805,0.0
1124,3A,12715,55.0
1125,3A,12324,7.0
1126,3A,18590,0.0
1127,3A,15932,0.0
1128,3A,12832,272.0
1129,3A,8638,100.0
1130,3A,19303,0.0
1131,3A,14697,0.0
1132,3A,20777,0.0
1133,3A,18546,24.0
1134,3A,19468,0.0
1135,3A,14498,72.0
1136,3A,12540,147.0
1137,3A,15697,0.0
1138,3A,13796,32.0
1139,3A,12510,0.0
1140,3A,21256,0.0
1141,3A,13866,77.0
1142,3A,16382,0.0
1143,3A,14450,0.0
1144,3A,19158,12.0
1145,3A,19334,0.0
1146,3A,19441,95.0
1147,3A,14189,32.0
1148,3A,13747,0.0
1149,3A,12671,30.0
